""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000172660"	27074,1832534304	25984,5144605064	24124,1462132691	30035,2187274805	21873,2669846972	21913,7541947043	23790,9388989646	20011,8935381409
"ENSG00000172955"	325,050223766711	363,122687888987	335,437125926459	1215,1982325896	1172,38693408343	1101,0772870708	1032,99630862745	3803,74335578749
"ENSG00000173545"	3554,54921620582	3251,27068891332	3368,03468598257	4862,94753715377	3233,2514893868	2978,9663818485	3338,70994701646	4610,09848393745
"ENSG00000174013"	1828,28248937092	1986,35324633314	2158,82142144116	1637,50116448244	1633,55942198348	1657,85180520935	1744,83964619358	1399,7885444375
"ENSG00000175768"	16226,5071704342	13994,2514021323	13650,4464625999	5246,46754672992	13371,8404030646	13125,6252004054	13908,3940544251	5373,86926971493
"ENSG00000175920"	84,0129809120116	67,3340083502758	85,3964169873877	79,7204514287503	257,968360419094	237,854074148788	231,48632956842	155,226796390027
"ENSG00000176171"	2297,35496612965	2368,7142223222	2328,24791274414	1456,51419367122	2191,28989953761	2280,5484262955	2316,69322714324	1866,84262207121
"ENSG00000179314"	1171,18096009483	1018,02607862917	1078,72753938468	924,326315214429	1089,52000266388	1043,17273718439	1161,09151076018	1111,31396707551
"ENSG00000179542"	0	0,801595337503283	0	0	0	0	0	0
"ENSG00000179588"	857,132436209451	715,824636390432	579,329292842438	448,158213437299	851,727938590417	1012,88420339765	970,778639020132	416,227604479454
"ENSG00000179743"	381,058877708053	383,964166664073	349,100552644441	180,986970811217	284,629894875816	399,986813830734	316,578142413728	303,585150461912
"ENSG00000179837"	6552,01235660224	6256,45160921313	5994,82847251461	5431,76373113188	6249,60779305811	6505,79888954532	6171,44384560866	5706,30187791304
"ENSG00000179862"	1508,23303827754	1107,00316109203	1073,26216869749	935,099349191287	1076,54952644169	1228,4672968209	1131,81260741555	918,997582167508
"ENSG00000180287"	563,087003017411	593,982145089933	561,566838109061	458,931247414157	1254,53328349062	1254,30163446252	1168,41123659633	1449,24132912813
"ENSG00000180316"	5,00077267333402	9,6191440500394	16,3961120615784	10,7730339768581	0,720582012343839	1,78167845804336	1,82993145903889	1,37368846362856
"ENSG00000180525"	226,034924834698	225,248289838423	219,981170159511	314,572592124258	303,365027196756	315,357087073674	309,258416577573	608,543989387453
